序号,井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B,进尺命中率
91,大页1H3-1,SD6542B,PDC,311.2,渤海中成,复合钻进,2024-12-09,1,凉下段~须六段,1642.87,2306.0,663.13,58.0,11.43,1.33,180~180,45~50,55~22,20.5~22,凉下段,须六段,180.0,180.0,45.0,50.0,55.0,22.0,20.5,22.0,1.0
92,大页1H3-1,ES1656TE,PDC,311.2,武汉亿斯达,复合钻进,2024-12-13,1,须六段~雷五段,2306.0,2725.0,419.0,110.5,3.79,1.33,180~200,40~50,50.9~18.5,16~18.5,须六段,雷五段,180.0,200.0,40.0,50.0,50.9,18.5,16.0,18.5,1.0
93,大页1H3-1,SD6542B,PDC,311.2,渤海中成,复合钻进,2024-12-20,1,雷五段~嘉二3段,2725.0,3379.0,654.0,46.0,14.22,1.33,20~200,40~40,55~26,20~26,雷五段,嘉二3段,20.0,200.0,40.0,40.0,55.0,26.0,20.0,26.0,1.0
94,大页1H3-1,SD6532ZC,PDC,215.9,中成,复合钻进,2024-12-26,1,嘉二3段~飞三段,3379.0,4030.0,651.0,84.0,7.75,1.9,100~130,40~50,34~34,22~34,嘉二3段,飞三段,100.0,130.0,40.0,50.0,34.0,34.0,22.0,34.0,1.0
95,大页1H3-1,DD506VX,PDC,215.9,贝克休斯,复合钻进,2025-03-31,1,飞三段~飞三段,4030.0,4120.0,90.0,18.0,5.0,1.9,150~160,50~80,28~33,25~33,飞三段,飞三段,150.0,160.0,50.0,80.0,28.0,33.0,25.0,33.0,1.0
96,大页1H3-1,DD505VXS,PDC,215.9,贝克休斯,复合钻进,2025-04-03,1,飞三段~大隆组,4120.0,4603.0,483.0,72.5,6.66,1.9,120~170,60~80,28~35,25~35,飞三段,大隆组,120.0,170.0,60.0,80.0,28.0,35.0,25.0,35.0,1.0
97,大页1H3-1,MDI516UBPXG,PDC,215.9,史密斯,复合钻进,2025-04-09,1,大隆组~飞一段,4603.0,4737.0,134.0,73.0,1.84,1.9,130~170,60~70,30~35,35~35,大隆组,飞一段,130.0,170.0,60.0,70.0,30.0,35.0,35.0,35.0,1.0
98,大页1H3-1,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-04-14,1,吴家坪~吴家坪,4737.0,4935.0,198.0,30.0,6.6,1.9,120~140,60~80,28~35,28~35,吴家坪,吴家坪,120.0,140.0,60.0,80.0,28.0,35.0,28.0,35.0,1.0
99,大页1H3-1,535CG,牙轮,660.4,宝石机械,顶驱钻,2024-11-27,1,沙二段~沙二段,0.0,50.0,50.0,5.0,10.0,1.07,30~30,60~60,70~5,5~5,沙二段,沙二段,30.0,30.0,60.0,60.0,70.0,5.0,5.0,5.0,1.0
100,大页1H3-1,SD6647VZ,PDC,444.5,渤海中成,螺杆钻进,2024-11-29,1,沙二段~沙二段,50.0,509.0,459.0,20.0,22.95,1.07,150~150,60~60,65~12,12~12,沙二段,沙二段,150.0,150.0,60.0,60.0,65.0,12.0,12.0,12.0,1.0
