井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B
大页1H3-3,DD505VSX,PDC,215.90,贝克休斯,螺杆钻进,2025-02-28,1,吴家坪组~吴家坪组,5753,6124.50,371.50,87,4.27,1.90,120~140,50~60,32~38,36~38,吴家坪组,吴家坪组,120,140,50,60,32,38,36,38
大页1H3-3,DD506VX,PDC,215.90,贝克休斯,螺杆钻进,2025-03-08,1,吴家坪组~吴家坪组,6124.50,6152,27.50,41.50,0.66,1.95,130~150,60~60,30~35,30~35,吴家坪组,吴家坪组,130,150,60,60,30,35,30,35
大页1H3-3,Z516,PDC,215.90,史密斯,螺杆钻进,2025-03-14,1,吴家坪组~吴家坪组,6152,6293,141,95,1.48,1.95,0~150,0~60,0~35,0~35,吴家坪组,吴家坪组,0,150,0,60,0,35,0,35
大页1H3-3,Z516,PDC,215.90,史密斯,螺杆钻进,2025-03-21,1,吴家坪组~吴家坪组,6293,6515,222,98,2.27,1.97,140~150,50~60,28~35,32~35,吴家坪组,吴家坪组,140,150,50,60,28,35,32,35
大页1H3-3,TK56,PDC,215.90,国民油井,螺杆钻进,2025-03-29,1,吴家坪组~吴家坪组,6515,6970,455,113,4.03,1.97,140~150,60~60,28~35,32~35,吴家坪组,吴家坪组,140,150,60,60,28,35,32,35
大页1H3-4,KSD1652DFRT,PDC,311.20,江钻,复合钻进,2025-01-06,1,沙二段~沙二段,523,1520,997,63,15.83,1.32,180~200,60~70,60~20,18~20,沙二段,沙二段,180,200,60,70,60,20,18,20
大页1H3-4,KSD1652DFRT,PDC,311.20,江钻,复合钻进,2025-01-10,1,沙二段~凉上段,1520,1794,274,26,10.54,1.34,100~200,60~70,60~23,16~23,沙二段,凉上段,100,200,60,70,60,23,16,23
大页1H3-4,HS5164BS,PDC,311.20,惠灵丰,螺杆钻进,2025-01-13,1,凉上段~须四段,1794,2422,628,90,6.98,1.33,180~200,50~60,50~20,16~20,凉上段,须四段,180,200,50,60,50,20,16,20
大页1H3-4,SD6542B,PDC,311.20,渤海中成,螺杆钻进,2025-01-18,1,须四段~雷一1段,2422,2733,311,57,5.46,1.33,180~180,65~65,50~19,18~19,须四段,雷一1段,180,180,65,65,50,19,18,19
大页1H3-4,SD6542B,PDC,311.20,渤海中成,螺杆钻进,2025-01-21,1,雷五段~嘉二3段,2733,3413,680,40,17,1.33,200~220,0~70,14.3~28,2~28,雷五段,嘉二3段,200,220,0,70,14.3,28,2,28
大页1H3-4,SD6532ZC,PDC,215.90,渤海中成,螺杆钻进,2025-02-02,1,嘉二3段~嘉一段,3413,3614,201,10,20.10,1.70,120~180,65~65,32~31.5,28~31.5,嘉二3段,嘉一段,120,180,65,65,32,31.5,28,31.5
大页1H3-4,SD6532ZC,PDC,215.90,渤海中成,螺杆钻进,2025-02-02,2,嘉二3段~飞三段,3614,4130,516,24,21.50,1.80,160~180,45~70,34~35,27~35,嘉二3段,飞三段,160,180,45,70,34,35,27,35
大页1H3-4,Z616S,PDC,215.90,史密斯,复合钻进,2025-02-07,1,飞三段~大隆组,4130,4601.46,471.46,62,7.60,1.97,0~150,0~70,0~32,0~32,飞三段,大隆组,0,150,0,70,0,32,0,32
大页1H3-4,535CG,牙轮,660.40,宝石机械,顶驱钻,2024-12-01,1,沙二段~沙二段,0,50,50,2,25,1.07,30~30,30~60,45~3,3~3,沙二段,沙二段,30,30,30,60,45,3,3,3
大页1H3-4,KS1652FGRTY,PDC,444.50,江钻,复合钻进,2025-01-02,1,沙二段~沙二段,50,523,473,16,29.56,1.07,30~30,30~30,45~3,3~3,沙二段,沙二段,30,30,30,30,45,3,3,3
大页1H3-4,MDis516UBPXG,PDC,215.90,史密斯,复合钻进,2025-02-13,1,吴家坪~吴家坪,4601.46,5388,786.54,136,5.78,1.97,120~170,50~80,30~36,33~36,吴家坪,吴家坪,120,170,50,80,30,36,33,36
大页1H3-4,NT516S,PDC,215.90,史密斯,复合钻进,2025-02-22,1,吴家坪~吴家坪,5388,5953,565,84,6.73,1.99,0~54.6,0~19,0~33.4,0~33.4,吴家坪,吴家坪,0,54.6,0,19,0,33.4,0,33.4
大页1H3-4,NTZ516,PDC,215.90,史密斯,复合钻进,2025-03-03,1,吴家坪~吴家坪,5953,6660,707,104.50,6.77,1.89,80~150,50~70,29~38,36~38,吴家坪,吴家坪,80,150,50,70,29,38,36,38
